time,latitude,longitude,depth,mag,place
2014-07-29T10:46:14.700Z,17.6818,-95.6533,107,6.3,Mexico
2014-07-27T01:28:37.440Z,23.724,-45.5809,10,6,Northern Mid-Atlantic Ridge
2014-07-25T10:54:49.720Z,58.3062,-136.9601,10,6.1,Alaska
2014-07-21T14:54:41.000Z,-19.8015,-178.4001,615.42,6.9,Fiji
2014-07-20T18:32:47.790Z,44.6419,148.7838,61,6.2,Russia
2014-07-19T14:14:01.850Z,11.7448,57.6382,10,6,Owen Fracture Zone region
2014-07-19T12:27:10.040Z,-15.8239,-174.4517,227.27,6.2,Tonga
2014-07-17T11:49:33.000Z,60.3491,-140.3333,10,6,Alaska
2014-07-14T07:59:57.290Z,5.7144,126.4776,20,6.3,Philippines
2014-07-11T19:22:00.820Z,37.0052,142.4525,20,6.5,Japan
2014-07-08T12:56:25.920Z,-17.6864,168.3982,110.24,6.2,Vanuatu
2014-07-07T11:23:54.780Z,14.724,-92.4614,53,6.9,Mexico
2014-07-05T09:39:27.790Z,1.9335,96.9388,20,6,Indonesia
2014-07-04T15:00:27.860Z,-6.2304,152.8075,20,6.5,Papua New Guinea
2014-07-03T19:50:07.290Z,-30.4601,-176.4451,35,6.3,New Zealand
2014-07-02T05:53:29.200Z,-62.3014,155.1868,10,6,Balleny Islands region
2014-06-30T19:55:32.390Z,28.3404,138.8441,511,6.2,Japan region
2014-06-29T17:15:09.340Z,-14.9831,-175.5096,18,6.7,Wallis and Futuna
2014-06-29T15:52:23.050Z,-14.7798,-175.2589,9,6.4,Wallis and Futuna
2014-06-29T14:32:49.420Z,-55.3584,-28.1075,10,6,
2014-06-29T07:52:55.170Z,-55.4703,-28.3669,8,6.9,
2014-06-29T05:56:31.720Z,24.3877,142.6278,48,6.2,Japan
2014-06-24T03:15:35.490Z,52.2045,176.6981,4,6.3,Alaska
2014-06-23T22:29:51.810Z,51.9593,178.5844,106.6,6,Alaska
2014-06-23T21:30:46.180Z,51.9357,178.4288,101.88,6,Alaska
2014-06-23T21:11:40.520Z,51.9558,178.4563,102.85,6,Alaska
2014-06-23T20:53:09.700Z,51.8486,178.7352,109,7.9,Alaska
2014-06-23T20:06:20.710Z,-29.9414,-177.6073,26.59,6.7,New Zealand
